year,country,flow,product_group,commodity_key,total_trade_usd,total_weight_kg,total_weight_tonnes,total_quantity,rows,any_quantity_available,any_weight_available
2024,HUNGARY,import,refined_products,light_oils_refined,822883518,949536680.74,949536.68074,949536680.74,1,TRUE,TRUE
2024,ICELAND,export,refined_products,light_oils_refined,185233.519,45957,45.957,45957,1,TRUE,TRUE
2024,ICELAND,import,crude_oil,crude_oil,533.64,12.981,0.012981,12.981,1,TRUE,TRUE
2024,ICELAND,import,lng,lng,858.42,199,0.199,199,1,TRUE,TRUE
2024,ICELAND,import,refined_products,light_oils_refined,106846492.451,115748288.692,115748.288692,115748288.692,1,TRUE,TRUE
2024,INDIA,export,lng,lng,4394400.542,4670023,4670.023,4670023,1,TRUE,TRUE
2024,INDIA,export,refined_products,light_oils_refined,19752770214.84,26625761682.563,26625761.682563,26625761682.563,1,TRUE,TRUE
2024,INDIA,import,crude_oil,crude_oil,141532322252.516,241750225067,241750225.067,241750225067,1,TRUE,TRUE
2024,INDIA,import,lng,lng,14984892381.23,27793935800,27793935.8,27793935800,1,TRUE,TRUE
2024,INDIA,import,refined_products,light_oils_refined,2145798786.956,3182199292.433,3182199.292433,3182199292.433,1,TRUE,TRUE
2024,IRELAND,export,crude_oil,crude_oil,74126.826,39253,39.253,39253,1,TRUE,TRUE
2024,IRELAND,export,lng,lng,179952.246,61186,61.186,61186,1,TRUE,TRUE
2024,IRELAND,export,refined_products,light_oils_refined,187836143.754,227427488,227427.488,227427488,1,TRUE,TRUE
2024,IRELAND,import,crude_oil,crude_oil,1246881113.146,0,0,0,1,FALSE,FALSE
2024,IRELAND,import,lng,lng,306480599.224,559184085,559184.085,559184085,1,TRUE,TRUE
2024,IRELAND,import,refined_products,light_oils_refined,523273820.04,558869874.329,558869.874329,558869874.329,1,TRUE,TRUE
2024,ISRAEL,import,crude_oil,crude_oil,7038699000,11205602902.113,11205602.902113002,11205602902.113,1,TRUE,TRUE
2024,ISRAEL,import,refined_products,light_oils_refined,524016000,561509191.653,561509.191653,561509191.653,1,TRUE,TRUE
2024,ITALY,export,crude_oil,crude_oil,632754942.115,1374841513,1374841.513,1374841513,1,TRUE,TRUE
2024,ITALY,export,lng,lng,49957355.639,0,0,0,1,FALSE,FALSE
2024,ITALY,export,refined_products,light_oils_refined,6557022192.906,8653078250.003,8653078.250003,8653078250.003,1,TRUE,TRUE
2024,ITALY,import,crude_oil,crude_oil,29098644094.028,47668545803,47668545.803,47668545803,1,TRUE,TRUE
2024,ITALY,import,lng,lng,5462422272.673,10719045520,10719045.52,10719045520,1,TRUE,TRUE
2024,ITALY,import,refined_products,light_oils_refined,1203081549.83,1769069192,1769069.192,1769069192,1,TRUE,TRUE
2024,ITALY,re-export,refined_products,light_oils_refined,252.195,1620,1.62,1620,1,TRUE,TRUE
2024,JAPAN,export,refined_products,light_oils_refined,1904974586.815,2436570532,2436570.532,2436570532,1,TRUE,TRUE
2024,JAPAN,import,crude_oil,crude_oil,71811869887.915,114958618700,114958618.7,114958618700,1,TRUE,TRUE
2024,JAPAN,import,lng,lng,41180083627.764,65890704000,65890704,65890704000,1,TRUE,TRUE
2024,JAPAN,import,refined_products,light_oils_refined,14173850420.518,19631944441.568,19631944.441568002,19631944441.568,1,TRUE,TRUE
2024,KYRGYZSTAN,export,refined_products,light_oils_refined,48327427,77587930,77587.93,77587930,1,TRUE,TRUE
2024,KYRGYZSTAN,import,crude_oil,crude_oil,166427,462298,462.298,462298,1,TRUE,TRUE
2024,KYRGYZSTAN,import,refined_products,light_oils_refined,322889916,529595570,529595.57,529595570,1,TRUE,TRUE
2024,LATVIA,export,crude_oil,crude_oil,710183.374,2590944,2590.944,2590944,1,TRUE,TRUE
2024,LATVIA,export,refined_products,light_oils_refined,120221304.125,165408557.163,165408.557163,165408557.163,1,TRUE,TRUE
2024,LATVIA,import,crude_oil,crude_oil,1610.582,1667,1.667,1667,1,TRUE,TRUE
2024,LATVIA,import,lng,lng,1835637.164,2689173,2689.173,2689173,1,TRUE,TRUE
2024,LATVIA,import,refined_products,light_oils_refined,284418958.933,0,0,0,1,FALSE,FALSE
2024,LITHUANIA,export,lng,lng,98857477,157611811,157611.811,157611811,1,TRUE,TRUE
2024,LITHUANIA,export,refined_products,light_oils_refined,2070533712,2676994556.55,2676994.5565500003,2676994556.55,1,TRUE,TRUE
2024,LITHUANIA,import,crude_oil,crude_oil,5465581486,8804712882,8804712.882,8804712882,1,TRUE,TRUE
2024,LITHUANIA,import,lng,lng,1015736718,1819111138,1819111.138,1819111138,1,TRUE,TRUE
2024,LITHUANIA,import,refined_products,light_oils_refined,60451121,80342584.631,80342.58463099999,80342584.631,1,TRUE,TRUE
2024,LUXEMBOURG,export,lng,lng,160.733,380.76,0.38076,380.76,1,TRUE,TRUE
