provider,source_dataset,source_file,source_layer,source_id,asset_class,asset_label,provider_class,subclass,name,status,country,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,geometry_role,provider_priority,lat,lon
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,345,refinery,Refinery,CRUDE OIL REFINERIES,,EL-SUEZ,N/A,EGYPT,oil,66000,,,,,,,66,,liquid_capacity,66000,bpd,capacity,site,1,29.95863,32.52024
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,341,refinery,Refinery,CRUDE OIL REFINERIES,,TANTA,N/A,EGYPT,oil,145000,,,,,,,145,,liquid_capacity,145000,bpd,capacity,site,1,30.79348,30.95761
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,339,refinery,Refinery,CRUDE OIL REFINERIES,,ASSIUT,N/A,EGYPT,oil,78000,,,,,,,78,,liquid_capacity,78000,bpd,capacity,site,1,31.00284,29.84428
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,343,refinery,Refinery,CRUDE OIL REFINERIES,,ALEXANDRIA,N/A,EGYPT,oil,35000,,,,,,,35,,liquid_capacity,35000,bpd,capacity,site,1,31.0225,29.76528
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,337,refinery,Refinery,CRUDE OIL REFINERIES,,ALEXANDRIA (EL-MEX),N/A,EGYPT,oil,100000,,,,,,,100,,liquid_capacity,100000,bpd,capacity,site,1,31.04917,29.67108
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,338,refinery,Refinery,CRUDE OIL REFINERIES,,ALEXANDRIA,N/A,EGYPT,oil,100000,,,,,,,100,,liquid_capacity,100000,bpd,capacity,site,1,31.0983,29.86311
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,347,refinery,Refinery,CRUDE OIL REFINERIES,,HAIFA,N/A,ISRAEL,oil,125000,,,,,,,125,,liquid_capacity,125000,bpd,capacity,site,1,31.62997,34.52224
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,348,refinery,Refinery,CRUDE OIL REFINERIES,,ASHDOD,N/A,ISRAEL,oil,115000,,,,,,,115,,liquid_capacity,115000,bpd,capacity,site,1,31.84453,34.68281
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,349,refinery,Refinery,CRUDE OIL REFINERIES,,ZARQA,N/A,JORDAN,oil,90400,,,,,,,90.4,,liquid_capacity,90400,bpd,capacity,site,1,32.12295,36.11163
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,357,refinery,Refinery,CRUDE OIL REFINERIES,,HOMS,N/A,SYRIA,oil,107000,,,,,,,107,,liquid_capacity,107000,bpd,capacity,site,1,34.71683,36.63966
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,356,refinery,Refinery,CRUDE OIL REFINERIES,,BANIAS,N/A,SYRIA,oil,133000,,,,,,,133,,liquid_capacity,133000,bpd,capacity,site,1,35.21539,35.96561
