site_id,asset_class,asset_label,asset_rank,map_color,name,status,country,lat,lon,geometry_role,primary_provider,primary_dataset,provider_priority,provider_sources,source_datasets,source_ids,provider_classes,subclasses,record_count
site_830,extraction_site,Extraction Site,8,#b2182b,HARMEL,,YEMEN,15.250197524558953,46.041923949019406,site,OGIM,ogim,1,OGIM,ogim,2064610,OIL AND NATURAL GAS FIELDS,,1
site_831,extraction_site,Extraction Site,8,#b2182b,HARQUS,,SAUDI ARABIA,27.937515964915622,49.70872001690499,site,OGIM,ogim,1,OGIM,ogim,2064499,OIL AND NATURAL GAS FIELDS,,1
site_832,extraction_site,Extraction Site,8,#b2182b,HARUN NORTH,,EGYPT,29.72078450026605,30.401462896367413,site,OGIM,ogim,1,OGIM,ogim,2059522,OIL AND NATURAL GAS FIELDS,,1
site_833,extraction_site,Extraction Site,8,#b2182b,HARW,,YEMEN,15.596687620382124,49.14699058873481,site,OGIM,ogim,1,OGIM,ogim,2064625,OIL AND NATURAL GAS FIELDS,,1
site_834,extraction_site,Extraction Site,8,#b2182b,HARWEEL DEEP,,OMAN,17.998739999999998,54.62969194146094,site,OGIM,ogim,1,OGIM,ogim,2064183,OIL AND NATURAL GAS FIELDS,,1
site_835,extraction_site,Extraction Site,8,#b2182b,HASBAH,,SAUDI ARABIA,28.198595946823666,49.88036301916819,site,OGIM,ogim,1,OGIM,ogim,2064491,OIL AND NATURAL GAS FIELDS,,1
site_836,extraction_site,Extraction Site,8,#b2182b,HASIRAH,,OMAN,20.36825399999989,55.6311957976212,site,OGIM,ogim,1,OGIM,ogim,2064306,OIL AND NATURAL GAS FIELDS,,1
site_837,extraction_site,Extraction Site,8,#b2182b,HASIRAH,,OMAN,20.41768349999989,55.67839625,site,OGIM,ogim,1,OGIM,ogim,2064307,OIL AND NATURAL GAS FIELDS,,1
site_838,extraction_site,Extraction Site,8,#b2182b,HASSEL,,OMAN,22.928160499999848,55.87867943999407,site,OGIM,ogim,1,OGIM,ogim,2064159,OIL AND NATURAL GAS FIELDS,,1
site_839,extraction_site,Extraction Site,8,#b2182b,HASSUN,,OMAN,20.801267499999888,56.475107399307774,site,OGIM,ogim,1,OGIM,ogim,2064122,OIL AND NATURAL GAS FIELDS,,1
site_840,extraction_site,Extraction Site,8,#b2182b,HATHOR DEEP 1,,EGYPT,30.723016999971662,26.42622624989729,site,OGIM,ogim,1,OGIM,ogim,2059978,OIL AND NATURAL GAS FIELDS,,1
site_841,extraction_site,Extraction Site,8,#b2182b,HAWK,,EGYPT,29.71013049977985,28.5617191414698,site,OGIM,ogim,1,OGIM,ogim,2059168,OIL AND NATURAL GAS FIELDS,,1
site_842,extraction_site,Extraction Site,8,#b2182b,HAWQA,,OMAN,20.22030499999989,55.74534319378883,site,OGIM,ogim,1,OGIM,ogim,2064305,OIL AND NATURAL GAS FIELDS,,1
site_843,extraction_site,Extraction Site,8,#b2182b,HAWTAH,,SAUDI ARABIA,22.92729127299362,46.82512298620674,site,OGIM,ogim,1,OGIM,ogim,2064514,OIL AND NATURAL GAS FIELDS,,1
site_844,extraction_site,Extraction Site,8,#b2182b,HAYAT,,EGYPT,30.63596099997023,26.929939738071464,site,OGIM,ogim,1,OGIM,ogim,2059181,OIL AND NATURAL GAS FIELDS,,1
site_845,extraction_site,Extraction Site,8,#b2182b,HAZAR,,OMAN,20.647539499999883,55.92880035140679,site,OGIM,ogim,1,OGIM,ogim,2064312,OIL AND NATURAL GAS FIELDS,,1
site_846,extraction_site,Extraction Site,8,#b2182b,HAZEM 1,,EGYPT,30.722811999783012,26.689413999992325,site,OGIM,ogim,1,OGIM,ogim,2059203,OIL AND NATURAL GAS FIELDS,,1
