incident_id,incident_day,wave_number,site_id,site_name,country,asset_class,product_group,capacity_kboed_equiv,confidence_tier,distance_km,energy_relevant_flag,capacity_available_flag,capacity_source,match_quality,link_rank
wiki_20260304_on_4_march_2026_qatar_said_it__76,2026-03-04,,site_67,QATAR NORTH FIELD LNG TERMINAL,QATAR,lng_facility,gas,187.93103448275863,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260304_qatar_arrested_ten_individuals_203,2026-03-04,,site_67,QATAR NORTH FIELD LNG TERMINAL,QATAR,lng_facility,gas,187.93103448275863,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260304_fujairah_29,2026-03-04,,site_88,Fujairah LNG Terminal,UNITED ARAB EMIRATES,lng_facility,gas,442.68000000000006,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260305_one_drone_hit_the_terminal_209,2026-03-05,,site_190,N/A,KUWAIT,petroleum_terminal,,,high,0.1534768747418228,TRUE,FALSE,unmatched,ambiguous,2
wiki_20260305_hit_by_bomb_near_port_196,2026-03-05,,site_36,PORT SUDAN,SUDAN,refinery,oil,21.7,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260305_largest_sports_complex_205,2026-03-05,,site_4412,UMM SHAIF SUPERCOMPLEX,UNITED ARAB EMIRATES,offshore_platform,,,high,0,TRUE,FALSE,unmatched,unmatched,1
wiki_20260305_largest_sports_complex_205,2026-03-05,,site_5011,N/A,UNITED ARAB EMIRATES,other_energy_site,,,high,1.3961162759425982,TRUE,FALSE,unmatched,ambiguous,2
wiki_20260305_one_drone_hit_the_terminal_209,2026-03-05,,site_53,AL ZOUR LNG IMPORT TERMINAL,KUWAIT,lng_facility,gas,498.2758620689655,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
wiki_20260305_saudi_arabia_reported_that_in__206,2026-03-05,,site_6032,WIDYAN - NORTH ARABIAN GULF,"BAHRAIN, IRAN, IRAQ, KUWAIT, QATAR, SAUDI ARABIA",other_energy_site,,,high,0,TRUE,FALSE,unmatched,unmatched,1
wiki_20260305_iran_targeted_a_us_oil_tanker__208,2026-03-05,,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,high,0,TRUE,TRUE,energy_sites_direct,energy_sites_direct,1
