incident_day,site_id,site_name,country,asset_class,product_group,capacity_kboed_equiv,n_incidents_linked,max_confidence_tier
2026-03-18,site_68,QATARGAS 1 RAS LAFFAN LNG TERMINAL,QATAR,lng_facility,gas,74.82758620689656,1,high
2026-03-18,site_69,QATARGAS 2 RAS LAFFAN LNG TERMINAL,QATAR,lng_facility,gas,177.58620689655174,1,high
2026-03-18,site_70,QATARGAS 2 RAS LAFFAN LNG TERMINAL,QATAR,lng_facility,gas,177.58620689655174,1,high
2026-03-18,site_98,QatarEnergy LNG (N),QATAR,lng_facility,gas,971.04,1,high
2026-03-18,site_99,QatarEnergy LNG (S),QATAR,lng_facility,gas,863.9399999999999,1,high
2026-03-18,site_71,RASGAS 1 LNG TERMINAL,QATAR,lng_facility,gas,177.58620689655174,1,high
2026-03-18,site_72,RASGAS 1 LNG TERMINAL,QATAR,lng_facility,gas,74.82758620689656,1,high
2026-03-19,site_326,ABU EL GHARADIQ NORTHEAST,EGYPT,extraction_site,,,1,high
2026-03-19,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,3,high
2026-03-19,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,3,high
2026-03-19,site_5210,N/A,IRAN,other_energy_site,,,1,high
2026-03-19,site_35,PERSIAN GULF STAR,IRAN,refinery,oil,360,1,high
2026-03-19,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,3,high
2026-03-19,site_93,Mina Al-Ahmadi LNG Terminal,KUWAIT,lng_facility,gas,228.48,1,high
2026-03-19,site_4795,N/A,OMAN,other_energy_site,,,1,high
2026-03-19,site_66,OMAN QALHAT LNG TERMINAL,OMAN,lng_facility,gas,80.51724137931035,1,high
2026-03-19,site_4983,N/A,QATAR,other_energy_site,,,1,high
2026-03-19,site_67,QATAR NORTH FIELD LNG TERMINAL,QATAR,lng_facility,gas,187.93103448275863,1,high
2026-03-19,site_46,UMM SAID,QATAR,refinery,oil,200,1,high
2026-03-19,site_274,HABSHAN FACILITIES,UNITED ARAB EMIRATES,processing_facility,,,1,high
2026-03-19,site_1449,N/A,UNITED ARAB EMIRATES,extraction_site,,,1,high
2026-03-19,site_4838,N/A,UNITED ARAB EMIRATES,other_energy_site,,,1,high
2026-03-19,site_4839,N/A,UNITED ARAB EMIRATES,other_energy_site,,,1,high
2026-03-19,site_4840,N/A,UNITED ARAB EMIRATES,other_energy_site,,,1,high
2026-03-20,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,1,high
2026-03-20,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,1,high
2026-03-20,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,1,high
2026-03-20,site_64,MINA AL-AHMADI EXPLORER FSRU,KUWAIT,lng_facility,gas,86.20689655172414,1,high
2026-03-20,site_65,MINA AL-AHMADI GOLAR FSRU,KUWAIT,lng_facility,gas,131.55172413793105,1,high
2026-03-20,site_810,GURRUKBIL GROUP OF FIELDS,TURKMENISTAN,extraction_site,,,1,high
2026-03-21,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,1,high
2026-03-21,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,1,high
2026-03-21,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,1,high
2026-03-21,site_663,EAST BAGHDAD,IRAQ,extraction_site,,,1,high
2026-03-22,site_62,IRAN NIOC LNG TERMINAL,IRAN,lng_facility,gas,122.58620689655172,1,high
2026-03-22,site_91,Kangan LNG Terminal,IRAN,lng_facility,gas,47.6,1,high
2026-03-22,site_96,Persian NIOC LNG Terminal,IRAN,lng_facility,gas,380.8,1,high
